公告,#genre#
直播源均来自网络，不得商用，仅供学习交流使用。,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
更新日期,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
2025-09-29,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
上海电信,#genre#
CCTV3,http://121.238.33.238:8188/rtp/239.49.8.74:8000
CCTV3,http://117.86.48.229:8888/rtp/239.49.8.74:8000
CCTV3,http://180.109.151.162:4022/rtp/239.49.8.74:8000
CCTV3,http://114.232.146.110:7777/rtp/239.49.8.74:8000
CCTV3,http://117.86.51.74:8888/rtp/239.49.8.74:8000
CCTV3,http://114.232.146.238:7777/rtp/239.49.8.74:8000
CCTV3,http://114.232.146.123:7777/rtp/239.49.8.74:8000
CCTV3,http://121.232.159.67:8188/rtp/239.49.8.74:8000
CCTV3,http://121.232.159.68:8188/rtp/239.49.8.74:8000
CCTV3,http://121.232.159.66:8188/rtp/239.49.8.74:8000
CCTV3,http://117.89.53.199:4022/rtp/239.49.8.74:8000
CCTV3,http://121.237.246.165:8888/rtp/239.49.8.74:8000
CCTV3,http://125.76.196.10:8899/rtp/239.109.205.79:8568
CCTV3,http://125.76.196.220:8899/rtp/239.109.205.79:8568
CCTV3,http://125.76.196.202:8899/rtp/239.109.205.79:8568
CCTV3,http://125.76.196.235:8899/rtp/239.109.205.79:8568
CCTV3,http://61.150.11.18:4023/rtp/239.109.205.79:8568
CCTV3,http://1.84.219.59:8888/rtp/239.109.205.79:8568
CCTV3,http://36.46.98.28:8013/rtp/239.109.205.79:8568
CCTV3,http://36.46.98.28:8020/rtp/239.109.205.79:8568
CCTV3,http://36.46.98.28:8009/rtp/239.109.205.79:8568
CCTV3,http://1.82.182.49:9999/rtp/239.109.205.79:8568
CCTV3,http://36.46.98.28:8023/rtp/239.109.205.79:8568
CCTV3,http://1.82.182.49:8888/rtp/239.109.205.79:8568
CCTV3,http://36.46.98.223:8020/rtp/239.109.205.79:8568
CCTV3,http://36.46.99.157:8022/rtp/239.109.205.79:8568
CCTV3,http://36.46.98.28:8017/rtp/239.109.205.79:8568
CCTV3,http://36.46.98.223:8019/rtp/239.109.205.79:8568
CCTV3,http://36.46.98.223:8009/rtp/239.109.205.79:8568
CCTV3,http://36.46.98.223:8023/rtp/239.109.205.79:8568
CCTV3,http://36.46.98.28:8019/rtp/239.109.205.79:8568
CCTV3,http://36.46.99.157:8008/rtp/239.109.205.79:8568
CCTV3,http://124.114.102.177:6789/rtp/239.109.205.79:8568
CCTV3,http://36.46.98.223:8017/rtp/239.109.205.79:8568
CCTV3,http://36.46.98.223:8013/rtp/239.109.205.79:8568
CCTV3,http://36.46.67.241:4022/rtp/239.109.205.79:8568
CCTV3,http://1.83.126.246:4022/rtp/239.109.205.79:8568
CCTV3,http://36.46.66.182:4022/rtp/239.109.205.79:8568
CCTV3,http://124.116.170.138:8081/rtp/239.109.205.79:8568
CCTV3,http://171.213.11.135:55555/rtp/239.93.0.109:5140
